0
"~W(1, 1)"
"~P(1, 1)"
"(W(1, 1) | OK(1, 1, 0) | P(1, 1))"
"(WumpusAlive(0) | OK(1, 1, 0) | P(1, 1))"
"(~P(1, 1) | ~OK(1, 1, 0))"
"(Forward(0) | Forward(0) | L(3, 2, 0) | Forward(0) | ~L(2, 2, 1) | Forward(1) | L(2, 2, 1))"
"(L(2, 3, 0) | L(2, 1, 0) | FacingWest(0) | Forward(0) | ~L(2, 2, 1) | Forward(1) | L(2, 2, 1))"
"(FacingSouth(0) | L(2, 1, 0) | FacingWest(0) | Forward(0) | ~L(2, 2, 1) | Forward(1) | L(2, 2, 1))"
"(Forward(0) | L(2, 1, 0) | FacingWest(0) | Forward(0) | ~L(2, 2, 1) | Forward(1) | L(2, 2, 1))"
"(L(2, 3, 0) | FacingNorth(0) | FacingWest(0) | Forward(0) | ~L(2, 2, 1) | Forward(1) | L(2, 2, 1))"
"(FacingSouth(0) | FacingNorth(0) | FacingWest(0) | Forward(0) | ~L(2, 2, 1) | Forward(1) | L(2, 2, 1))"
"(Forward(0) | FacingNorth(0) | FacingWest(0) | Forward(0) | ~L(2, 2, 1) | Forward(1) | L(2, 2, 1))"
"(L(2, 3, 0) | Forward(0) | FacingWest(0) | Forward(0) | ~L(2, 2, 1) | Forward(1) | L(2, 2, 1))"
"(FacingSouth(0) | Forward(0) | FacingWest(0) | Forward(0) | ~L(2, 2, 1) | Forward(1) | L(2, 2, 1))"
"(Forward(0) | Forward(0) | FacingWest(0) | Forward(0) | ~L(2, 2, 1) | Forward(1) | L(2, 2, 1))"
"(L(2, 3, 0) | L(2, 1, 0) | Forward(0) | Forward(0) | ~L(2, 2, 1) | Forward(1) | L(2, 2, 1))"
"(FacingSouth(0) | L(2, 1, 0) | Forward(0) | Forward(0) | ~L(2, 2, 1) | Forward(1) | L(2, 2, 1))"
"(Forward(0) | L(2, 1, 0) | Forward(0) | Forward(0) | ~L(2, 2, 1) | Forward(1) | L(2, 2, 1))"
"(L(2, 3, 0) | FacingNorth(0) | Forward(0) | Forward(0) | ~L(2, 2, 1) | Forward(1) | L(2, 2, 1))"
"(FacingSouth(0) | FacingNorth(0) | Forward(0) | Forward(0) | ~L(2, 2, 1) | Forward(1) | L(2, 2, 1))"
"(Forward(0) | FacingNorth(0) | Forward(0) | Forward(0) | ~L(2, 2, 1) | Forward(1) | L(2, 2, 1))"
"(L(2, 3, 0) | Forward(0) | Forward(0) | Forward(0) | ~L(2, 2, 1) | Forward(1) | L(2, 2, 1))"
"(FacingSouth(0) | Forward(0) | Forward(0) | Forward(0) | ~L(2, 2, 1) | Forward(1) | L(2, 2, 1))"
"(Forward(0) | Forward(0) | Forward(0) | Forward(0) | ~L(2, 2, 1) | Forward(1) | L(2, 2, 1))"
"(L(2, 3, 0) | L(2, 1, 0) | L(3, 2, 0) | L(1, 2, 0) | ~Bump(1) | L(2, 2, 1))"
"(FacingSouth(0) | L(2, 1, 0) | L(3, 2, 0) | L(1, 2, 0) | ~Bump(1) | L(2, 2, 1))"
"(Forward(0) | L(2, 1, 0) | L(3, 2, 0) | L(1, 2, 0) | ~Bump(1) | L(2, 2, 1))"
"(L(2, 3, 0) | FacingNorth(0) | L(3, 2, 0) | L(1, 2, 0) | ~Bump(1) | L(2, 2, 1))"
"(FacingSouth(0) | FacingNorth(0) | L(3, 2, 0) | L(1, 2, 0) | ~Bump(1) | L(2, 2, 1))"
"(Forward(0) | FacingNorth(0) | L(3, 2, 0) | L(1, 2, 0) | ~Bump(1) | L(2, 2, 1))"
"(L(2, 3, 0) | Forward(0) | L(3, 2, 0) | L(1, 2, 0) | ~Bump(1) | L(2, 2, 1))"
"(FacingSouth(0) | Forward(0) | L(3, 2, 0) | L(1, 2, 0) | ~Bump(1) | L(2, 2, 1))"
"(Forward(0) | Forward(0) | L(3, 2, 0) | L(1, 2, 0) | ~Bump(1) | L(2, 2, 1))"
"(L(2, 3, 0) | L(2, 1, 0) | FacingWest(0) | L(1, 2, 0) | ~Bump(1) | L(2, 2, 1))"
"(FacingSouth(0) | L(2, 1, 0) | FacingWest(0) | L(1, 2, 0) | ~Bump(1) | L(2, 2, 1))"
"(Forward(0) | L(2, 1, 0) | FacingWest(0) | L(1, 2, 0) | ~Bump(1) | L(2, 2, 1))"
"(L(2, 3, 0) | FacingNorth(0) | FacingWest(0) | L(1, 2, 0) | ~Bump(1) | L(2, 2, 1))"
"(FacingSouth(0) | FacingNorth(0) | FacingWest(0) | L(1, 2, 0) | ~Bump(1) | L(2, 2, 1))"
"(Forward(0) | FacingNorth(0) | FacingWest(0) | L(1, 2, 0) | ~Bump(1) | L(2, 2, 1))"
"(L(2, 3, 0) | Forward(0) | FacingWest(0) | L(1, 2, 0) | ~Bump(1) | L(2, 2, 1))"
"(FacingSouth(0) | Forward(0) | FacingWest(0) | L(1, 2, 0) | ~Bump(1) | L(2, 2, 1))"
"(Forward(0) | Forward(0) | FacingWest(0) | L(1, 2, 0) | ~Bump(1) | L(2, 2, 1))"
"(L(2, 3, 0) | L(2, 1, 0) | Forward(0) | L(1, 2, 0) | ~Bump(1) | L(2, 2, 1))"
"(FacingSouth(0) | L(2, 1, 0) | Forward(0) | L(1, 2, 0) | ~Bump(1) | L(2, 2, 1))"
"(Forward(0) | L(2, 1, 0) | Forward(0) | L(1, 2, 0) | ~Bump(1) | L(2, 2, 1))"
"(L(2, 3, 0) | FacingNorth(0) | Forward(0) | L(1, 2, 0) | ~Bump(1) | L(2, 2, 1))"
"(FacingSouth(0) | FacingNorth(0) | Forward(0) | L(1, 2, 0) | ~Bump(1) | L(2, 2, 1))"
"(Forward(0) | FacingNorth(0) | Forward(0) | L(1, 2, 0) | ~Bump(1) | L(2, 2, 1))"
"(L(2, 3, 0) | Forward(0) | Forward(0) | L(1, 2, 0) | ~Bump(1) | L(2, 2, 1))"
"(FacingSouth(0) | Forward(0) | Forward(0) | L(1, 2, 0) | ~Bump(1) | L(2, 2, 1))"
"(Forward(0) | Forward(0) | Forward(0) | L(1, 2, 0) | ~Bump(1) | L(2, 2, 1))"
"(L(2, 3, 0) | L(2, 1, 0) | L(3, 2, 0) | FacingEast(0) | ~Bump(1) | L(2, 2, 1))"
"(FacingSouth(0) | L(2, 1, 0) | L(3, 2, 0) | FacingEast(0) | ~Bump(1) | L(2, 2, 1))"
"(Forward(0) | L(2, 1, 0) | L(3, 2, 0) | FacingEast(0) | ~Bump(1) | L(2, 2, 1))"
"(L(2, 3, 0) | FacingNorth(0) | L(3, 2, 0) | FacingEast(0) | ~Bump(1) | L(2, 2, 1))"
"(FacingSouth(0) | FacingNorth(0) | L(3, 2, 0) | FacingEast(0) | ~Bump(1) | L(2, 2, 1))"
"(Forward(0) | FacingNorth(0) | L(3, 2, 0) | FacingEast(0) | ~Bump(1) | L(2, 2, 1))"
"(L(2, 3, 0) | Forward(0) | L(3, 2, 0) | FacingEast(0) | ~Bump(1) | L(2, 2, 1))"
"(FacingSouth(0) | Forward(0) | L(3, 2, 0) | FacingEast(0) | ~Bump(1) | L(2, 2, 1))"
"(Forward(0) | Forward(0) | L(3, 2, 0) | FacingEast(0) | ~Bump(1) | L(2, 2, 1))"
"(L(2, 3, 0) | L(2, 1, 0) | FacingWest(0) | FacingEast(0) | ~Bump(1) | L(2, 2, 1))"
"(FacingSouth(0) | L(2, 1, 0) | FacingWest(0) | FacingEast(0) | ~Bump(1) | L(2, 2, 1))"
"(Forward(0) | L(2, 1, 0) | FacingWest(0) | FacingEast(0) | ~Bump(1) | L(2, 2, 1))"
"(L(2, 3, 0) | FacingNorth(0) | FacingWest(0) | FacingEast(0) | ~Bump(1) | L(2, 2, 1))"
"(FacingSouth(0) | FacingNorth(0) | FacingWest(0) | FacingEast(0) | ~Bump(1) | L(2, 2, 1))"
"(Forward(0) | FacingNorth(0) | FacingWest(0) | FacingEast(0) | ~Bump(1) | L(2, 2, 1))"
"(L(2, 3, 0) | Forward(0) | FacingWest(0) | FacingEast(0) | ~Bump(1) | L(2, 2, 1))"
"(FacingSouth(0) | Forward(0) | FacingWest(0) | FacingEast(0) | ~Bump(1) | L(2, 2, 1))"
"(Forward(0) | Forward(0) | FacingWest(0) | FacingEast(0) | ~Bump(1) | L(2, 2, 1))"
"(L(2, 3, 0) | L(2, 1, 0) | Forward(0) | FacingEast(0) | ~Bump(1) | L(2, 2, 1))"
"(FacingSouth(0) | L(2, 1, 0) | Forward(0) | FacingEast(0) | ~Bump(1) | L(2, 2, 1))"
"(Forward(0) | L(2, 1, 0) | Forward(0) | FacingEast(0) | ~Bump(1) | L(2, 2, 1))"
"(L(2, 3, 0) | FacingNorth(0) | Forward(0) | FacingEast(0) | ~Bump(1) | L(2, 2, 1))"
"(FacingSouth(0) | FacingNorth(0) | Forward(0) | FacingEast(0) | ~Bump(1) | L(2, 2, 1))"
"(Forward(0) | FacingNorth(0) | Forward(0) | FacingEast(0) | ~Bump(1) | L(2, 2, 1))"
"(L(2, 3, 0) | Forward(0) | Forward(0) | FacingEast(0) | ~Bump(1) | L(2, 2, 1))"
"(FacingSouth(0) | Forward(0) | Forward(0) | FacingEast(0) | ~Bump(1) | L(2, 2, 1))"
"(Forward(0) | Forward(0) | Forward(0) | FacingEast(0) | ~Bump(1) | L(2, 2, 1))"
"(L(2, 3, 0) | L(2, 1, 0) | L(3, 2, 0) | Forward(0) | ~Bump(1) | L(2, 2, 1))"
"(FacingSouth(0) | L(2, 1, 0) | L(3, 2, 0) | Forward(0) | ~Bump(1) | L(2, 2, 1))"
"(Forward(0) | L(2, 1, 0) | L(3, 2, 0) | Forward(0) | ~Bump(1) | L(2, 2, 1))"
"(L(2, 3, 0) | FacingNorth(0) | L(3, 2, 0) | Forward(0) | ~Bump(1) | L(2, 2, 1))"
"(FacingSouth(0) | FacingNorth(0) | L(3, 2, 0) | Forward(0) | ~Bump(1) | L(2, 2, 1))"
"(Forward(0) | FacingNorth(0) | L(3, 2, 0) | Forward(0) | ~Bump(1) | L(2, 2, 1))"
"(L(2, 3, 0) | Forward(0) | L(3, 2, 0) | Forward(0) | ~Bump(1) | L(2, 2, 1))"
"(FacingSouth(0) | Forward(0) | L(3, 2, 0) | Forward(0) | ~Bump(1) | L(2, 2, 1))"
"(Forward(0) | Forward(0) | L(3, 2, 0) | Forward(0) | ~Bump(1) | L(2, 2, 1))"
"(L(2, 3, 0) | L(2, 1, 0) | FacingWest(0) | Forward(0) | ~Bump(1) | L(2, 2, 1))"
"(FacingSouth(0) | L(2, 1, 0) | FacingWest(0) | Forward(0) | ~Bump(1) | L(2, 2, 1))"
"(Forward(0) | L(2, 1, 0) | FacingWest(0) | Forward(0) | ~Bump(1) | L(2, 2, 1))"
"(L(2, 3, 0) | FacingNorth(0) | FacingWest(0) | Forward(0) | ~Bump(1) | L(2, 2, 1))"
"(FacingSouth(0) | FacingNorth(0) | FacingWest(0) | Forward(0) | ~Bump(1) | L(2, 2, 1))"
"(Forward(0) | FacingNorth(0) | FacingWest(0) | Forward(0) | ~Bump(1) | L(2, 2, 1))"
"(L(2, 3, 0) | Forward(0) | FacingWest(0) | Forward(0) | ~Bump(1) | L(2, 2, 1))"
"(FacingSouth(0) | Forward(0) | FacingWest(0) | Forward(0) | ~Bump(1) | L(2, 2, 1))"
"(Forward(0) | Forward(0) | FacingWest(0) | Forward(0) | ~Bump(1) | L(2, 2, 1))"
"(L(2, 3, 0) | L(2, 1, 0) | Forward(0) | Forward(0) | ~Bump(1) | L(2, 2, 1))"
"(FacingSouth(0) | L(2, 1, 0) | Forward(0) | Forward(0) | ~Bump(1) | L(2, 2, 1))"
"(Forward(0) | L(2, 1, 0) | Forward(0) | Forward(0) | ~Bump(1) | L(2, 2, 1))"
"(L(2, 3, 0) | FacingNorth(0) | Forward(0) | Forward(0) | ~Bump(1) | L(2, 2, 1))"
"(FacingSouth(0) | FacingNorth(0) | Forward(0) | Forward(0) | ~Bump(1) | L(2, 2, 1))"
"(Forward(0) | FacingNorth(0) | Forward(0) | Forward(0) | ~Bump(1) | L(2, 2, 1))"
"(L(2, 3, 0) | Forward(0) | Forward(0) | Forward(0) | ~Bump(1) | L(2, 2, 1))"
"(FacingSouth(0) | Forward(0) | Forward(0) | Forward(0) | ~Bump(1) | L(2, 2, 1))"
"(Forward(0) | Forward(0) | Forward(0) | Forward(0) | ~Bump(1) | L(2, 2, 1))"
"(L(2, 3, 0) | L(2, 1, 0) | L(3, 2, 0) | L(1, 2, 0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(FacingSouth(0) | L(2, 1, 0) | L(3, 2, 0) | L(1, 2, 0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(Forward(0) | L(2, 1, 0) | L(3, 2, 0) | L(1, 2, 0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(L(2, 3, 0) | FacingNorth(0) | L(3, 2, 0) | L(1, 2, 0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(FacingSouth(0) | FacingNorth(0) | L(3, 2, 0) | L(1, 2, 0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(Forward(0) | FacingNorth(0) | L(3, 2, 0) | L(1, 2, 0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(L(2, 3, 0) | Forward(0) | L(3, 2, 0) | L(1, 2, 0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(FacingSouth(0) | Forward(0) | L(3, 2, 0) | L(1, 2, 0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(Forward(0) | Forward(0) | L(3, 2, 0) | L(1, 2, 0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(L(2, 3, 0) | L(2, 1, 0) | FacingWest(0) | L(1, 2, 0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(FacingSouth(0) | L(2, 1, 0) | FacingWest(0) | L(1, 2, 0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(Forward(0) | L(2, 1, 0) | FacingWest(0) | L(1, 2, 0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(L(2, 3, 0) | FacingNorth(0) | FacingWest(0) | L(1, 2, 0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(FacingSouth(0) | FacingNorth(0) | FacingWest(0) | L(1, 2, 0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(Forward(0) | FacingNorth(0) | FacingWest(0) | L(1, 2, 0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(L(2, 3, 0) | Forward(0) | FacingWest(0) | L(1, 2, 0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(FacingSouth(0) | Forward(0) | FacingWest(0) | L(1, 2, 0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(Forward(0) | Forward(0) | FacingWest(0) | L(1, 2, 0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(L(2, 3, 0) | L(2, 1, 0) | Forward(0) | L(1, 2, 0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(FacingSouth(0) | L(2, 1, 0) | Forward(0) | L(1, 2, 0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(Forward(0) | L(2, 1, 0) | Forward(0) | L(1, 2, 0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(L(2, 3, 0) | FacingNorth(0) | Forward(0) | L(1, 2, 0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(FacingSouth(0) | FacingNorth(0) | Forward(0) | L(1, 2, 0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(Forward(0) | FacingNorth(0) | Forward(0) | L(1, 2, 0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(L(2, 3, 0) | Forward(0) | Forward(0) | L(1, 2, 0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(FacingSouth(0) | Forward(0) | Forward(0) | L(1, 2, 0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(Forward(0) | Forward(0) | Forward(0) | L(1, 2, 0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(L(2, 3, 0) | L(2, 1, 0) | L(3, 2, 0) | FacingEast(0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(FacingSouth(0) | L(2, 1, 0) | L(3, 2, 0) | FacingEast(0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(Forward(0) | L(2, 1, 0) | L(3, 2, 0) | FacingEast(0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(L(2, 3, 0) | FacingNorth(0) | L(3, 2, 0) | FacingEast(0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(FacingSouth(0) | FacingNorth(0) | L(3, 2, 0) | FacingEast(0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(Forward(0) | FacingNorth(0) | L(3, 2, 0) | FacingEast(0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(L(2, 3, 0) | Forward(0) | L(3, 2, 0) | FacingEast(0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(FacingSouth(0) | Forward(0) | L(3, 2, 0) | FacingEast(0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(Forward(0) | Forward(0) | L(3, 2, 0) | FacingEast(0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(L(2, 3, 0) | L(2, 1, 0) | FacingWest(0) | FacingEast(0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(FacingSouth(0) | L(2, 1, 0) | FacingWest(0) | FacingEast(0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(Forward(0) | L(2, 1, 0) | FacingWest(0) | FacingEast(0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(L(2, 3, 0) | FacingNorth(0) | FacingWest(0) | FacingEast(0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(FacingSouth(0) | FacingNorth(0) | FacingWest(0) | FacingEast(0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(Forward(0) | FacingNorth(0) | FacingWest(0) | FacingEast(0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(L(2, 3, 0) | Forward(0) | FacingWest(0) | FacingEast(0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(FacingSouth(0) | Forward(0) | FacingWest(0) | FacingEast(0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(Forward(0) | Forward(0) | FacingWest(0) | FacingEast(0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(L(2, 3, 0) | L(2, 1, 0) | Forward(0) | FacingEast(0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(FacingSouth(0) | L(2, 1, 0) | Forward(0) | FacingEast(0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(Forward(0) | L(2, 1, 0) | Forward(0) | FacingEast(0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(L(2, 3, 0) | FacingNorth(0) | Forward(0) | FacingEast(0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(FacingSouth(0) | FacingNorth(0) | Forward(0) | FacingEast(0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(Forward(0) | FacingNorth(0) | Forward(0) | FacingEast(0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(L(2, 3, 0) | Forward(0) | Forward(0) | FacingEast(0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(FacingSouth(0) | Forward(0) | Forward(0) | FacingEast(0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(Forward(0) | Forward(0) | Forward(0) | FacingEast(0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(L(2, 3, 0) | L(2, 1, 0) | L(3, 2, 0) | Forward(0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(FacingSouth(0) | L(2, 1, 0) | L(3, 2, 0) | Forward(0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(Forward(0) | L(2, 1, 0) | L(3, 2, 0) | Forward(0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(L(2, 3, 0) | FacingNorth(0) | L(3, 2, 0) | Forward(0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(FacingSouth(0) | FacingNorth(0) | L(3, 2, 0) | Forward(0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(Forward(0) | FacingNorth(0) | L(3, 2, 0) | Forward(0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(L(2, 3, 0) | Forward(0) | L(3, 2, 0) | Forward(0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(FacingSouth(0) | Forward(0) | L(3, 2, 0) | Forward(0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(Forward(0) | Forward(0) | L(3, 2, 0) | Forward(0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(L(2, 3, 0) | L(2, 1, 0) | FacingWest(0) | Forward(0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(FacingSouth(0) | L(2, 1, 0) | FacingWest(0) | Forward(0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(Forward(0) | L(2, 1, 0) | FacingWest(0) | Forward(0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(L(2, 3, 0) | FacingNorth(0) | FacingWest(0) | Forward(0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(FacingSouth(0) | FacingNorth(0) | FacingWest(0) | Forward(0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(Forward(0) | FacingNorth(0) | FacingWest(0) | Forward(0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(L(2, 3, 0) | Forward(0) | FacingWest(0) | Forward(0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(FacingSouth(0) | Forward(0) | FacingWest(0) | Forward(0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(Forward(0) | Forward(0) | FacingWest(0) | Forward(0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(L(2, 3, 0) | L(2, 1, 0) | Forward(0) | Forward(0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(FacingSouth(0) | L(2, 1, 0) | Forward(0) | Forward(0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(Forward(0) | L(2, 1, 0) | Forward(0) | Forward(0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(L(2, 3, 0) | FacingNorth(0) | Forward(0) | Forward(0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(FacingSouth(0) | FacingNorth(0) | Forward(0) | Forward(0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(Forward(0) | FacingNorth(0) | Forward(0) | Forward(0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(L(2, 3, 0) | Forward(0) | Forward(0) | Forward(0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(FacingSouth(0) | Forward(0) | Forward(0) | Forward(0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(Forward(0) | Forward(0) | Forward(0) | Forward(0) | L(2, 2, 1) | Bump(1) | ~L(2, 2, 1))"
"(L(2, 3, 0) | L(2, 1, 0) | L(3, 2, 0) | L(1, 2, 0) | ~Forward(1) | Bump(1) | ~L(2, 2, 1))"
"(FacingSouth(0) | L(2, 1, 0) | L(3, 2, 0) | L(1, 2, 0) | ~Forward(1) | Bump(1) | ~L(2, 2, 1))"
"(Forward(0) | L(2, 1, 0) | L(3, 2, 0) | L(1, 2, 0) | ~Forward(1) | Bump(1) | ~L(2, 2, 1))"
"(L(2, 3, 0) | FacingNorth(0) | L(3, 2, 0) | L(1, 2, 0) | ~Forward(1) | Bump(1) | ~L(2, 2, 1))"
"(FacingSouth(0) | FacingNorth(0) | L(3, 2, 0) | L(1, 2, 0) | ~Forward(1) | Bump(1) | ~L(2, 2, 1))"
"(Forward(0) | FacingNorth(0) | L(3, 2, 0) | L(1, 2, 0) | ~Forward(1) | Bump(1) | ~L(2, 2, 1))"
"(L(2, 3, 0) | Forward(0) | L(3, 2, 0) | L(1, 2, 0) | ~Forward(1) | Bump(1) | ~L(2, 2, 1))"
"(FacingSouth(0) | Forward(0) | L(3, 2, 0) | L(1, 2, 0) | ~Forward(1) | Bump(1) | ~L(2, 2, 1))"
"(Forward(0) | Forward(0) | L(3, 2, 0) | L(1, 2, 0) | ~Forward(1) | Bump(1) | ~L(2, 2, 1))"
"(L(2, 3, 0) | L(2, 1, 0) | FacingWest(0) | L(1, 2, 0) | ~Forward(1) | Bump(1) | ~L(2, 2, 1))"
"(FacingSouth(0) | L(2, 1, 0) | FacingWest(0) | L(1, 2, 0) | ~Forward(1) | Bump(1) | ~L(2, 2, 1))"
"(Forward(0) | L(2, 1, 0) | FacingWest(0) | L(1, 2, 0) | ~Forward(1) | Bump(1) | ~L(2, 2, 1))"
"(L(2, 3, 0) | FacingNorth(0) | FacingWest(0) | L(1, 2, 0) | ~Forward(1) | Bump(1) | ~L(2, 2, 1))"
"(FacingSouth(0) | FacingNorth(0) | FacingWest(0) | L(1, 2, 0) | ~Forward(1) | Bump(1) | ~L(2, 2, 1))"
"(Forward(0) | FacingNorth(0) | FacingWest(0) | L(1, 2, 0) | ~Forward(1) | Bump(1) | ~L(2, 2, 1))"
"(L(2, 3, 0) | Forward(0) | FacingWest(0) | L(1, 2, 0) | ~Forward(1) | Bump(1) | ~L(2, 2, 1))"
"(FacingSouth(0) | Forward(0) | FacingWest(0) | L(1, 2, 0) | ~Forward(1) | Bump(1) | ~L(2, 2, 1))"
"(Forward(0) | Forward(0) | FacingWest(0) | L(1, 2, 0) | ~Forward(1) | Bump(1) | ~L(2, 2, 1))"
"(L(2, 3, 0) | L(2, 1, 0) | Forward(0) | L(1, 2, 0) | ~Forward(1) | Bump(1) | ~L(2, 2, 1))"
"(FacingSouth(0) | L(2, 1, 0) | Forward(0) | L(1, 2, 0) | ~Forward(1) | Bump(1) | ~L(2, 2, 1))"
"(Forward(0) | L(2, 1, 0) | Forward(0) | L(1, 2, 0) | ~Forward(1) | Bump(1) | ~L(2, 2, 1))"
"(L(2, 3, 0) | FacingNorth(0) | Forward(0) | L(1, 2, 0) | ~Forward(1) | Bump(1) | ~L(2, 2, 1))"
"(FacingSouth(0) | FacingNorth(0) | Forward(0) | L(1, 2, 0) | ~Forward(1) | Bump(1) | ~L(2, 2, 1))"
"(Forward(0) | FacingNorth(0) | Forward(0) | L(1, 2, 0) | ~Forward(1) | Bump(1) | ~L(2, 2, 1))"
"(L(2, 3, 0) | Forward(0) | Forward(0) | L(1, 2, 0) | ~Forward(1) | Bump(1) | ~L(2, 2, 1))"
"(FacingSouth(0) | Forward(0) | Forward(0) | L(1, 2, 0) | ~Forward(1) | Bump(1) | ~L(2, 2, 1))"
"(Forward(0) | Forward(0) | Forward(0) | L(1, 2, 0) | ~Forward(1) | Bump(1) | ~L(2, 2, 1))"
"(L(2, 3, 0) | L(2, 1, 0) | L(3, 2, 0) | FacingEast(0) | ~Forward(1) | Bump(1) | ~L(2, 2, 1))"
